age_group,2018,2019,2020,2021,2022
10,6654,7231,7099,6960,6508
20,28727,30631,29775,29076,26904
30,33618,34978,31606,30304,28402
40,42204,43769,38036,36480,33915
50,53631,55814,50421,46938,44581
60,18095,19847,18175,18578,19160
65,16650,18213,17087,17594,19399
65,13362,15026,13985,14247,15253
