age_group,total
10,185036
10,94597
20,1177987
20,815924
20,1660531
20,1262949
30,1621536
30,1327042
30,1777506
30,1521874
40,1990846
40,1742426
40,2058011
40,1777133
50,2182795
50,1847743
50,1961344
50,1511517
60,1875187
60,1321283
65,1305640
65,745845
65,797899
65,290048
65,449494
65,100311
65,214255
65,29359
65,62913
65,5863
65,11513
65,758
65,2503
65,137
